"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"CO","Colorado",117,3647000,0
"CO","Colorado",118,5367000,1
"CO","Colorado",119,4594000,0
"CT","Connecticut",9,1634000,
"CT","Connecticut",10,1889000,1
"CT","Connecticut",11,1677000,0
"CT","Connecticut",12,2042000,1
"CT","Connecticut",13,1578000,0
"CT","Connecticut",14,2553000,1
"CT","Connecticut",15,1691000,0
"CT","Connecticut",16,1772000,1
"CT","Connecticut",17,1875000,1
"CT","Connecticut",18,2797000,1
"CT","Connecticut",19,1814000,0
"CT","Connecticut",20,1772000,0
"CT","Connecticut",21,1980000,1
"CT","Connecticut",22,2290000,1
"CT","Connecticut",23,2004000,0
"CT","Connecticut",24,1916000,0
"CT","Connecticut",25,2159000,1
"CT","Connecticut",26,3155000,1
"CT","Connecticut",27,2060000,0
"CT","Connecticut",28,2004000,0
"CT","Connecticut",29,2144000,1
"CT","Connecticut",30,3178000,1
"CT","Connecticut",31,2125000,0
"CT","Connecticut",32,1788000,0
"CT","Connecticut",33,2220000,1
"CT","Connecticut",34,3588000,1
"CT","Connecticut",35,1555000,0
"CT","Connecticut",36,2159000,1
"CT","Connecticut",37,2455000,1
"CT","Connecticut",38,3705000,1
"CT","Connecticut",39,1531000,0
"CT","Connecticut",40,2138000,1
"CT","Connecticut",41,2206000,1
"CT","Connecticut",42,3157000,1
"CT","Connecticut",43,1553000,0
"CT","Connecticut",44,2298000,1
"CT","Connecticut",45,2244000,0
"CT","Connecticut",46,3311000,1
"CT","Connecticut",47,1734000,0
"CT","Connecticut",48,2373000,1
"CT","Connecticut",49,2477000,1
"CT","Connecticut",50,3613000,1
"CT","Connecticut",51,1768000,0
"CT","Connecticut",52,2656000,1
"CT","Connecticut",53,3479000,1
"CT","Connecticut",54,3638000,1
"CT","Connecticut",55,1834000,0
"CT","Connecticut",56,2945000,1
"CT","Connecticut",57,3377000,1
"CT","Connecticut",58,3977000,1
"CT","Connecticut",59,1892000,0
"CT","Connecticut",60,2999000,1
"CT","Connecticut",61,3609000,1
"CT","Connecticut",62,4262000,1
"CT","Connecticut",63,1951000,0
"CT","Connecticut",64,3203000,1
"CT","Connecticut",65,3709000,1
"CT","Connecticut",66,5726000,1
"CT","Connecticut",67,1929000,0
"CT","Connecticut",68,2883000,1
"CT","Connecticut",69,2936000,1
"CT","Connecticut",70,4398000,1
"CT","Connecticut",71,1699000,0
"CT","Connecticut",72,2846000,1
"CT","Connecticut",73,3002000,1
"CT","Connecticut",74,4798000,1
"CT","Connecticut",75,1906000,0
"CT","Connecticut",76,2959000,1
"CT","Connecticut",77,3325000,1
"CT","Connecticut",78,5505000,1
"CT","Connecticut",79,2064000,0
"CT","Connecticut",80,3534000,1
"CT","Connecticut",81,3754000,1
"CT","Connecticut",82,6049000,1
"CT","Connecticut",83,2018000,0
"CT","Connecticut",84,3581000,1
"CT","Connecticut",85,3784000,1
"CT","Connecticut",86,6587000,1
